Idade,Score,Limite_Credito,Inadimplente,Cidade,Emprego,Renda_Mensal
34,427,3686,1,Rio de Janeiro,Empresário,9208
55,535,6883,1,Salvador,Empresário,9036
46,749,5551,0,Rio de Janeiro,Empresário,9244
37,838,9636,0,Porto Alegre,Empresário,10977
22,461,3943,1,Porto Alegre,Autônomo,4885
49,490,6779,1,Fortaleza,Estudante,18
50,562,6513,1,Belo Horizonte,Empresário,9423
33,618,6741,0,São Paulo,Empresário,10963
67,351,2718,0,Fortaleza,Assalariado,2741
68,502,4936,0,Rio de Janeiro,Empresário,9172
60,759,5843,0,Rio de Janeiro,Autônomo,5478
46,338,5300,0,Fortaleza,Autônomo,5154
46,659,8100,0,São Paulo,Assalariado,3910
54,689,6266,0,Fortaleza,Estudante,738
52,761,6866,0,Salvador,Autônomo,5636
48,727,7789,1,Rio de Janeiro,Autônomo,5641
18,588,6970,0,Salvador,Autônomo,5659
27,601,6981,0,Salvador,Empresário,10486
29,331,2760,1,Salvador,Autônomo,4543
38,625,8035,0,Fortaleza,Assalariado,3656
42,552,5493,0,São Paulo,Desempregado,834
69,607,6556,0,Rio de Janeiro,Empresário,10941
57,509,6827,1,Rio de Janeiro,Autônomo,5206
40,341,5100,0,Salvador,Empresário,9807
32,726,5334,0,São Paulo,Empresário,10599
33,507,5344,1,São Paulo,Assalariado,3882
37,308,1659,1,Fortaleza,Assalariado,2584
41,307,4736,0,Belo Horizonte,Empresário,10400
30,834,7861,0,Belo Horizonte,Empresário,9435
59,392,5364,1,São Paulo,Autônomo,5171
32,602,5957,0,Fortaleza,Desempregado,752
32,750,7109,0,Porto Alegre,Estudante,1346
19,380,3740,1,Rio de Janeiro,Autônomo,4440
39,300,3572,1,Rio de Janeiro,Autônomo,5229
66,645,6808,1,Salvador,Assalariado,2603
54,361,3110,0,São Paulo,Autônomo,5727
57,637,6446,0,Porto Alegre,Autônomo,5511
19,689,6623,1,Rio de Janeiro,Assalariado,3759
29,406,2513,1,Salvador,Autônomo,5645
40,735,7008,0,Rio de Janeiro,Desempregado,1111
43,302,2020,1,Fortaleza,Empresário,9578
36,516,4916,1,Rio de Janeiro,Assalariado,2012
47,321,4220,1,Porto Alegre,Estudante,1008
50,781,6833,0,Rio de Janeiro,Autônomo,5902
39,679,8741,0,São Paulo,Empresário,10803
26,438,6255,0,Salvador,Autônomo,4704
43,748,7037,0,Belo Horizonte,Estudante,456
37,610,6004,1,Salvador,Desempregado,170
53,466,4248,1,Salvador,Estudante,643
23,503,3598,0,Rio de Janeiro,Estudante,17
53,656,8182,0,Porto Alegre,Empresário,10901
35,665,4977,0,Salvador,Estudante,224
49,676,4916,0,São Paulo,Assalariado,2428
29,651,6436,0,Fortaleza,Empresário,9936
50,499,5826,0,Belo Horizonte,Assalariado,3277
34,609,5411,1,São Paulo,Autônomo,5011
59,610,7723,1,São Paulo,Estudante,1888
23,698,7571,0,Salvador,Empresário,10651
51,427,2398,0,Salvador,Assalariado,2876
23,788,8927,0,São Paulo,Estudante,549
68,341,3582,1,Fortaleza,Desempregado,1309
39,438,4898,0,Porto Alegre,Assalariado,2697
18,720,5771,0,Belo Horizonte,Empresário,10778
68,656,8299,0,Porto Alegre,Estudante,1677
66,407,4867,0,São Paulo,Desempregado,1172
29,302,3829,0,Belo Horizonte,Estudante,789
42,586,5091,0,Salvador,Autônomo,5920
19,628,6962,0,Porto Alegre,Empresário,10227
69,756,7901,0,Fortaleza,Assalariado,2505
18,641,5407,0,Salvador,Desempregado,1028
32,388,3188,0,Rio de Janeiro,Estudante,213
26,489,4102,0,Rio de Janeiro,Desempregado,-215
21,450,4532,1,São Paulo,Assalariado,3194
18,703,8674,0,São Paulo,Autônomo,4386
23,316,3435,0,Porto Alegre,Autônomo,5749
26,473,5932,1,Fortaleza,Autônomo,4865
27,541,3440,1,Salvador,Estudante,1668
65,637,7874,0,Salvador,Empresário,9218
65,609,7981,0,Belo Horizonte,Desempregado,1290
63,693,5604,0,Belo Horizonte,Autônomo,5034
32,672,7072,0,Fortaleza,Assalariado,3169
62,609,4212,1,Fortaleza,Desempregado,-366
37,580,6149,0,Fortaleza,Assalariado,3707
35,593,6212,1,São Paulo,Empresário,9764
62,405,3560,0,Rio de Janeiro,Assalariado,3335
53,607,5304,0,Belo Horizonte,Autônomo,4582
44,370,2798,1,Rio de Janeiro,Empresário,10175
66,488,6075,0,Belo Horizonte,Autônomo,4719
31,577,7277,1,São Paulo,Desempregado,-55
69,406,2488,1,Salvador,Autônomo,4515
31,447,2704,0,Porto Alegre,Empresário,9525
44,384,4259,0,Rio de Janeiro,Estudante,1059
21,827,9820,0,Fortaleza,Autônomo,4706
65,488,3315,0,Rio de Janeiro,Assalariado,2814
43,392,4395,0,Belo Horizonte,Assalariado,3072
41,753,8139,0,Salvador,Desempregado,239
53,317,1830,0,Salvador,Desempregado,92
55,483,3794,0,Porto Alegre,Desempregado,-286
32,695,6546,1,Fortaleza,Empresário,10047
61,529,4167,1,Salvador,Empresário,10675
47,513,5267,0,Porto Alegre,Assalariado,3211
24,809,6678,0,Porto Alegre,Estudante,7
28,729,8798,0,Belo Horizonte,Estudante,642
57,830,7976,0,Rio de Janeiro,Assalariado,3922
38,549,6887,0,Salvador,Estudante,1500
55,302,1879,1,Porto Alegre,Assalariado,2938
65,727,6670,0,Salvador,Assalariado,3919
67,511,5030,0,Porto Alegre,Autônomo,4918
54,704,6960,1,São Paulo,Autônomo,5543
69,472,5936,0,Fortaleza,Desempregado,1009
62,382,3842,0,Fortaleza,Autônomo,5164
39,375,5659,0,Fortaleza,Empresário,10675
28,451,4012,1,Fortaleza,Desempregado,858
33,348,4431,0,São Paulo,Autônomo,5117
27,538,5439,0,Porto Alegre,Autônomo,5634
38,438,4844,0,São Paulo,Estudante,822
36,680,5203,0,Rio de Janeiro,Empresário,9882
62,809,7763,0,Salvador,Autônomo,4318
51,637,8073,0,Salvador,Empresário,10691
68,519,6521,0,Salvador,Desempregado,-298
68,819,9407,0,Salvador,Desempregado,-189
66,693,8094,0,São Paulo,Estudante,805
58,338,1910,1,Porto Alegre,Desempregado,26
47,360,5444,0,Porto Alegre,Autônomo,4517
38,468,5270,0,Belo Horizonte,Estudante,1126
24,301,4623,0,Salvador,Desempregado,444
52,486,3559,1,São Paulo,Empresário,10680
63,745,8158,0,Fortaleza,Empresário,10461
37,353,3867,0,São Paulo,Autônomo,4246
56,403,2290,0,Porto Alegre,Desempregado,-18
46,703,7336,0,Belo Horizonte,Estudante,1092
41,620,7888,0,Rio de Janeiro,Assalariado,2254
20,640,7940,1,São Paulo,Desempregado,1230
28,520,5439,0,Fortaleza,Estudante,1870
20,430,4950,1,São Paulo,Empresário,10624
32,574,5894,0,Fortaleza,Autônomo,5235
67,657,7816,0,Rio de Janeiro,Estudante,1692
22,347,3639,0,Belo Horizonte,Estudante,1769
62,761,6599,0,Fortaleza,Estudante,325
42,634,6003,0,Belo Horizonte,Empresário,10373
66,415,3655,1,Salvador,Autônomo,4557
27,580,6564,0,Belo Horizonte,Assalariado,3552
18,343,5043,1,Belo Horizonte,Desempregado,-262
69,380,4312,1,Belo Horizonte,Assalariado,2924
49,620,6964,1,Porto Alegre,Assalariado,2201
41,335,4910,0,São Paulo,Empresário,10829
42,497,6782,0,Belo Horizonte,Assalariado,3348
61,756,8789,0,São Paulo,Assalariado,3829
65,543,6384,0,São Paulo,Assalariado,2596
37,820,7489,0,Fortaleza,Autônomo,4942
19,486,3557,0,Fortaleza,Estudante,237
28,639,7838,0,Rio de Janeiro,Autônomo,5381
62,456,3262,1,Belo Horizonte,Autônomo,5793
19,392,4109,1,São Paulo,Estudante,665
38,723,6579,0,Rio de Janeiro,Empresário,10596
68,356,5196,1,Belo Horizonte,Assalariado,2965
34,809,9154,0,São Paulo,Desempregado,986
25,564,7447,1,São Paulo,Empresário,9851
22,443,4048,1,São Paulo,Autônomo,5329
68,812,9232,0,Salvador,Desempregado,1462
56,744,9071,1,Fortaleza,Estudante,9
63,469,3421,1,Porto Alegre,Estudante,704
56,818,7638,0,Fortaleza,Empresário,10705
29,839,8737,0,São Paulo,Empresário,10768
63,837,7936,0,Rio de Janeiro,Empresário,9621
58,358,2578,0,Belo Horizonte,Autônomo,5114
65,536,3391,0,Rio de Janeiro,Estudante,584
69,340,3551,1,Porto Alegre,Estudante,966
59,533,3500,0,Belo Horizonte,Assalariado,2693
61,778,6600,0,Rio de Janeiro,Estudante,370
28,561,4008,0,Rio de Janeiro,Assalariado,2679
55,734,6031,0,Rio de Janeiro,Assalariado,3051
58,606,6559,1,Salvador,Desempregado,35
60,367,2138,1,Fortaleza,Desempregado,875
35,407,2293,0,Rio de Janeiro,Empresário,10850
62,740,6180,0,Salvador,Assalariado,2125
49,531,7186,0,Salvador,Empresário,9485
55,368,3172,1,Porto Alegre,Estudante,480
26,719,8028,0,Rio de Janeiro,Assalariado,3925
67,537,3470,0,Fortaleza,Autônomo,5876
35,675,4799,1,Belo Horizonte,Desempregado,1082
57,622,4387,0,Rio de Janeiro,Estudante,64
28,386,5094,0,Rio de Janeiro,Estudante,813
31,394,5926,0,Belo Horizonte,Autônomo,4238
27,386,2775,1,Belo Horizonte,Desempregado,1363
57,585,4752,0,Salvador,Assalariado,2504
62,680,5590,1,São Paulo,Estudante,634
52,808,8281,0,Belo Horizonte,Estudante,1948
67,641,4872,1,Rio de Janeiro,Desempregado,-268
22,576,4867,1,São Paulo,Assalariado,3521
29,357,4839,0,Salvador,Assalariado,3699
57,370,3069,0,São Paulo,Empresário,9556
65,765,7912,0,Fortaleza,Autônomo,5463
23,788,6863,0,Porto Alegre,Estudante,1380
57,432,5580,0,Fortaleza,Desempregado,-54
35,423,4472,1,Fortaleza,Assalariado,3061
42,640,7121,0,Salvador,Estudante,927
57,397,5595,0,Salvador,Empresário,10023
58,523,5283,1,Rio de Janeiro,Empresário,9873
45,504,5304,1,Porto Alegre,Empresário,9347
45,591,5375,0,Salvador,Assalariado,2677
64,723,8950,0,Porto Alegre,Desempregado,871
59,828,10028,0,Porto Alegre,Assalariado,2529
47,506,5376,1,Fortaleza,Estudante,1567
32,644,6715,1,Fortaleza,Empresário,10594
46,678,6969,0,São Paulo,Autônomo,4532
34,349,5333,1,Rio de Janeiro,Empresário,10215
52,847,10424,0,Rio de Janeiro,Desempregado,-400
62,770,8117,0,Porto Alegre,Assalariado,3541
34,353,2547,0,Salvador,Desempregado,391
29,397,2458,1,Rio de Janeiro,Estudante,1364
29,395,2900,0,São Paulo,Empresário,9072
28,361,5234,1,Belo Horizonte,Assalariado,2243
25,733,9088,1,São Paulo,Autônomo,5070
44,365,5084,1,Belo Horizonte,Autônomo,5151
60,548,6239,0,Porto Alegre,Desempregado,325
68,716,8377,0,Porto Alegre,Empresário,9062
51,449,3497,0,Belo Horizonte,Estudante,1122
19,686,5577,0,Fortaleza,Estudante,1060
18,362,2539,1,Salvador,Empresário,9539
44,692,5883,0,Salvador,Desempregado,145
30,422,5652,1,Fortaleza,Autônomo,4192
22,562,5710,0,Fortaleza,Autônomo,4042
44,667,8404,0,Belo Horizonte,Assalariado,2076
42,714,5588,0,Fortaleza,Empresário,9254
47,828,9669,0,Porto Alegre,Estudante,1741
28,834,10140,0,Rio de Janeiro,Empresário,9005
67,769,9151,0,Salvador,Assalariado,3808
41,570,5514,0,São Paulo,Desempregado,-111
65,834,6625,0,Porto Alegre,Assalariado,3903
33,615,6337,0,Fortaleza,Desempregado,436
54,376,2383,0,Salvador,Autônomo,5216
34,750,6059,0,Belo Horizonte,Desempregado,1151
38,397,4487,1,São Paulo,Desempregado,1029
46,551,5995,0,Rio de Janeiro,Estudante,399
46,581,7170,1,São Paulo,Estudante,157
31,730,7716,1,Porto Alegre,Desempregado,88
50,340,4111,1,Belo Horizonte,Assalariado,3063
22,670,6009,1,São Paulo,Assalariado,2381
45,367,4050,0,São Paulo,Estudante,1055
19,371,2117,0,São Paulo,Assalariado,2328
64,761,6588,0,Rio de Janeiro,Empresário,9744
21,562,6641,0,Rio de Janeiro,Assalariado,2821
31,531,4049,0,Belo Horizonte,Desempregado,-293
25,692,6943,0,Rio de Janeiro,Assalariado,3171
23,514,6797,1,Fortaleza,Assalariado,2404
57,417,3402,1,Fortaleza,Assalariado,3443
25,708,5941,0,Belo Horizonte,Desempregado,984
27,551,4569,0,Porto Alegre,Estudante,545
55,321,3769,0,Salvador,Empresário,10974
47,307,4449,0,Belo Horizonte,Autônomo,4971
44,754,7810,0,Salvador,Desempregado,1108
32,402,3159,1,São Paulo,Estudante,1355
48,746,9429,0,Salvador,Empresário,9307
32,452,3590,0,São Paulo,Autônomo,5995
65,687,8110,0,Porto Alegre,Empresário,10036
28,554,7505,0,Rio de Janeiro,Autônomo,5896
21,732,9276,0,Salvador,Autônomo,4644
49,317,4800,0,Porto Alegre,Assalariado,2259
18,397,3522,1,Belo Horizonte,Assalariado,2715
69,828,8036,0,São Paulo,Assalariado,3604
45,694,7012,0,Salvador,Desempregado,-461
37,720,5419,0,São Paulo,Desempregado,544
29,524,4221,1,Porto Alegre,Assalariado,3056
19,634,4840,1,Rio de Janeiro,Assalariado,2737
68,807,7165,0,Salvador,Estudante,1629
27,616,4641,1,Rio de Janeiro,Desempregado,-141
25,416,5771,0,Porto Alegre,Assalariado,2791
49,430,4595,1,Fortaleza,Autônomo,4448
64,770,9690,1,Salvador,Assalariado,2137
25,578,5793,0,Salvador,Estudante,981
61,701,6812,0,São Paulo,Assalariado,2728
28,611,6229,0,Rio de Janeiro,Assalariado,2842
67,353,2477,1,Fortaleza,Desempregado,550
33,663,7465,1,Salvador,Empresário,9746
60,631,6610,0,São Paulo,Empresário,10643
28,612,5166,0,Salvador,Autônomo,5409
64,665,7399,0,São Paulo,Assalariado,3448
24,764,9124,0,Salvador,Desempregado,923
33,654,5786,0,Salvador,Autônomo,4064
27,843,10067,0,São Paulo,Estudante,1226
33,492,5293,1,São Paulo,Desempregado,-139
33,532,4862,0,Belo Horizonte,Empresário,10577
65,705,5867,0,Salvador,Desempregado,1202
27,482,3860,0,Porto Alegre,Desempregado,1282
38,652,5719,0,Porto Alegre,Desempregado,480
52,814,9517,0,Rio de Janeiro,Estudante,338
66,375,2021,0,Rio de Janeiro,Desempregado,1095
66,544,3905,1,Belo Horizonte,Desempregado,1489
48,779,7356,0,Belo Horizonte,Empresário,9166
66,835,9170,0,São Paulo,Autônomo,4844
19,799,7384,0,Salvador,Assalariado,3230
59,311,3531,1,São Paulo,Empresário,9904
68,546,5771,0,Salvador,Desempregado,1380
23,495,5690,0,Fortaleza,Empresário,9985
39,518,6651,0,Rio de Janeiro,Autônomo,4410
43,351,3417,1,Belo Horizonte,Autônomo,5028
57,616,6849,0,Fortaleza,Estudante,1232
64,718,6599,0,Porto Alegre,Autônomo,4674
37,839,10129,0,Porto Alegre,Desempregado,1411
35,740,6631,0,Rio de Janeiro,Estudante,560
60,753,5889,1,Porto Alegre,Autônomo,5674
32,333,2724,1,Fortaleza,Autônomo,5516
30,375,5058,0,Porto Alegre,Assalariado,3980
56,795,7013,0,Belo Horizonte,Autônomo,5636
62,377,4156,0,Fortaleza,Empresário,9639
24,803,7577,0,Fortaleza,Empresário,10307
29,556,3698,0,São Paulo,Estudante,1557
60,642,7547,1,Salvador,Estudante,1618
69,492,4954,0,Rio de Janeiro,Autônomo,5294
28,334,4391,0,Rio de Janeiro,Empresário,9264
44,436,5978,1,São Paulo,Autônomo,4647
19,660,8298,0,Belo Horizonte,Autônomo,5397
36,729,9045,0,Rio de Janeiro,Estudante,604
29,672,7552,0,Porto Alegre,Desempregado,324
67,746,6159,0,São Paulo,Autônomo,5022
20,469,6125,1,Belo Horizonte,Autônomo,4346
56,758,6133,0,Fortaleza,Assalariado,3145
44,425,4306,0,Porto Alegre,Estudante,280
54,744,5442,0,Porto Alegre,Desempregado,361
22,429,4125,1,Porto Alegre,Empresário,9806
55,301,4401,1,Porto Alegre,Estudante,1549
51,690,6409,0,Fortaleza,Empresário,10879
39,750,6773,0,Salvador,Autônomo,5764
46,718,6575,0,São Paulo,Autônomo,4486
55,666,7343,0,Belo Horizonte,Assalariado,3003
30,786,6903,0,Belo Horizonte,Assalariado,3006
39,400,4272,1,Fortaleza,Empresário,10354
55,544,6315,1,Belo Horizonte,Autônomo,5844
57,419,3469,1,São Paulo,Estudante,955
64,752,7625,0,São Paulo,Autônomo,4317
27,511,6709,1,Porto Alegre,Assalariado,3832
42,814,8546,0,Salvador,Autônomo,4845
57,427,3290,0,Salvador,Estudante,987
35,538,5975,0,Salvador,Estudante,164
51,309,4537,0,São Paulo,Autônomo,5700
51,611,7911,1,Fortaleza,Empresário,10351
62,342,1592,0,São Paulo,Assalariado,3545
43,799,7824,0,Belo Horizonte,Empresário,10736
39,359,2785,0,Fortaleza,Empresário,10825
61,447,3554,0,Rio de Janeiro,Autônomo,5376
29,400,4284,0,Belo Horizonte,Assalariado,3954
47,443,4790,0,Porto Alegre,Empresário,10860
28,416,3797,1,Rio de Janeiro,Autônomo,5948
53,820,8441,0,Fortaleza,Assalariado,2873
43,395,2765,1,Rio de Janeiro,Assalariado,3561
59,567,7210,1,São Paulo,Desempregado,1058
20,779,6222,0,Rio de Janeiro,Estudante,779
20,622,7033,0,Rio de Janeiro,Empresário,10928
65,327,1621,0,Salvador,Empresário,9509
56,828,9485,0,Belo Horizonte,Empresário,10896
42,616,6870,0,Belo Horizonte,Empresário,10842
35,650,5179,0,Belo Horizonte,Autônomo,5922
36,315,1686,1,São Paulo,Desempregado,-234
68,320,2943,0,Belo Horizonte,Desempregado,192
68,829,7648,0,Rio de Janeiro,Estudante,868
45,740,6455,0,São Paulo,Desempregado,885
63,675,7903,0,Rio de Janeiro,Desempregado,1355
68,499,4683,0,Fortaleza,Autônomo,4653
29,303,4301,1,Porto Alegre,Assalariado,3036
38,515,3403,1,Porto Alegre,Desempregado,995
29,615,6199,0,São Paulo,Assalariado,2192
29,751,7876,0,Belo Horizonte,Empresário,9781
19,470,6555,1,Salvador,Autônomo,5438
52,454,5289,0,São Paulo,Autônomo,4568
23,733,6700,0,Rio de Janeiro,Estudante,1870
42,688,8328,0,Fortaleza,Autônomo,5296
49,569,6024,0,Rio de Janeiro,Estudante,1372
59,433,6251,1,Salvador,Estudante,804
65,324,3953,0,Porto Alegre,Estudante,1494
62,666,7973,0,São Paulo,Autônomo,5316
28,784,6748,0,Fortaleza,Empresário,10202
32,607,5618,0,Porto Alegre,Empresário,9537
47,564,5219,0,Belo Horizonte,Estudante,838
66,419,5224,0,Porto Alegre,Desempregado,1497
67,397,5285,1,São Paulo,Desempregado,1470
41,805,9318,0,Fortaleza,Assalariado,2565
37,415,4069,0,Fortaleza,Assalariado,3717
58,698,8044,0,Salvador,Desempregado,-179
65,424,5874,0,Fortaleza,Desempregado,608
51,429,3475,1,Porto Alegre,Desempregado,1326
21,513,6911,0,Rio de Janeiro,Desempregado,274
46,523,3450,1,Belo Horizonte,Desempregado,1336
40,465,4894,0,Salvador,Assalariado,3508
27,701,6304,0,Porto Alegre,Estudante,1777
62,553,3778,0,São Paulo,Estudante,1449
67,309,4501,0,Rio de Janeiro,Empresário,10421
30,330,3771,1,Belo Horizonte,Autônomo,5447
22,691,8074,0,Porto Alegre,Estudante,463
69,526,6852,0,Fortaleza,Empresário,9080
27,682,5306,0,Belo Horizonte,Assalariado,2351
18,632,5455,0,Porto Alegre,Empresário,9341
33,509,4821,0,Belo Horizonte,Autônomo,4796
35,819,9424,0,Fortaleza,Estudante,1072
23,773,9253,0,Porto Alegre,Estudante,1170
28,659,6400,0,São Paulo,Empresário,9545
65,509,3514,0,Fortaleza,Empresário,9430
42,766,8187,0,Rio de Janeiro,Estudante,960
25,376,2589,1,Salvador,Estudante,1179
55,837,7417,0,Belo Horizonte,Desempregado,1083
37,348,3647,0,Salvador,Estudante,519
32,774,6136,0,Belo Horizonte,Assalariado,3969
29,469,6334,0,São Paulo,Empresário,9013
48,614,5775,0,Fortaleza,Assalariado,3115
26,625,6983,1,Fortaleza,Assalariado,2646
47,317,4385,1,São Paulo,Estudante,1812
26,710,8464,0,São Paulo,Desempregado,-233
63,582,6880,1,Rio de Janeiro,Estudante,1601
31,437,3560,0,Porto Alegre,Assalariado,3341
20,404,4621,1,Salvador,Desempregado,1023
25,532,6593,1,Salvador,Estudante,1545
62,459,4266,1,Rio de Janeiro,Desempregado,1156
26,333,4442,0,Belo Horizonte,Assalariado,3181
58,491,3143,0,Salvador,Empresário,10787
32,455,4516,0,Porto Alegre,Assalariado,3839
24,482,6490,1,Belo Horizonte,Desempregado,253
45,716,7222,0,Salvador,Assalariado,2772
68,707,5832,0,Porto Alegre,Desempregado,243
42,499,3171,0,Belo Horizonte,Assalariado,2729
38,812,7320,0,Porto Alegre,Estudante,1611
19,524,5366,1,Belo Horizonte,Autônomo,5983
22,388,2426,0,Porto Alegre,Empresário,10289
54,464,4048,1,Salvador,Empresário,10713
51,472,2850,0,Porto Alegre,Autônomo,4812
46,574,5817,0,Rio de Janeiro,Desempregado,1170
40,343,3171,1,Belo Horizonte,Empresário,9037
22,816,8742,0,Belo Horizonte,Autônomo,4675
39,674,6861,0,Belo Horizonte,Autônomo,5065
58,714,7445,0,Belo Horizonte,Estudante,1005
31,564,5752,1,Belo Horizonte,Estudante,1849
55,510,3226,0,Fortaleza,Assalariado,2311
19,727,8885,0,Fortaleza,Desempregado,50
56,327,1356,0,Rio de Janeiro,Estudante,2
55,626,8081,0,Rio de Janeiro,Assalariado,3721
32,593,7092,0,São Paulo,Empresário,10931
35,535,3853,0,Rio de Janeiro,Assalariado,3144
69,615,4512,1,Fortaleza,Autônomo,5428
37,326,2602,0,São Paulo,Empresário,9076
59,714,6300,0,Rio de Janeiro,Estudante,523
26,586,6734,0,Belo Horizonte,Autônomo,4256
23,538,5560,0,Porto Alegre,Estudante,1722
62,392,4091,1,Porto Alegre,Desempregado,213
49,751,5599,0,Rio de Janeiro,Autônomo,5293
60,385,1960,0,São Paulo,Estudante,646
28,457,2950,0,Rio de Janeiro,Assalariado,3704
22,584,4915,0,Belo Horizonte,Estudante,1088
28,619,7069,0,São Paulo,Autônomo,4386
57,426,4817,0,São Paulo,Empresário,9052
54,549,5014,0,Rio de Janeiro,Assalariado,3953
64,844,7555,0,Fortaleza,Autônomo,5231
38,366,2201,0,Rio de Janeiro,Assalariado,3673
30,787,7304,0,Fortaleza,Empresário,10650
69,301,4115,0,Belo Horizonte,Empresário,10413
38,471,4005,0,São Paulo,Autônomo,4422
33,703,6207,0,Fortaleza,Empresário,10253
44,417,2701,0,Salvador,Empresário,9629
64,440,2824,1,São Paulo,Empresário,10738
21,439,4493,0,Belo Horizonte,Assalariado,2094
63,628,6432,0,Rio de Janeiro,Empresário,10301
26,814,8249,0,São Paulo,Empresário,9804
46,415,5798,0,Fortaleza,Desempregado,960
49,388,3333,1,Fortaleza,Autônomo,4667
61,656,7079,0,Salvador,Estudante,22
51,434,5710,0,Fortaleza,Autônomo,5168
54,428,5110,1,Fortaleza,Desempregado,578
28,692,4978,0,Salvador,Autônomo,5758
50,520,3901,1,Salvador,Desempregado,504
60,572,3948,1,Fortaleza,Assalariado,3643
58,640,4484,0,São Paulo,Autônomo,5271
48,795,8517,0,São Paulo,Empresário,9360
55,777,9411,0,Salvador,Empresário,10200
57,441,3443,0,Porto Alegre,Autônomo,4471
20,768,9552,0,Rio de Janeiro,Autônomo,5813
30,776,9034,0,Fortaleza,Assalariado,3932
58,470,3727,0,São Paulo,Estudante,1820
29,721,6186,0,Rio de Janeiro,Empresário,9776
57,813,6568,0,Rio de Janeiro,Desempregado,-75
47,482,3029,0,Belo Horizonte,Assalariado,3499
19,488,4500,0,Porto Alegre,Assalariado,2912
21,466,6405,0,Belo Horizonte,Empresário,10381
37,711,7474,0,São Paulo,Autônomo,5687
58,707,6204,0,Rio de Janeiro,Empresário,9257
20,372,2874,0,Belo Horizonte,Empresário,10595
32,589,6189,1,Porto Alegre,Autônomo,5686
36,584,6324,0,São Paulo,Autônomo,4928
34,565,5662,1,Belo Horizonte,Empresário,9271
66,503,5955,0,Belo Horizonte,Empresário,9178
42,657,5091,0,Salvador,Estudante,1435
57,350,3331,1,Belo Horizonte,Autônomo,4067
61,548,5185,1,Belo Horizonte,Desempregado,221
56,810,8101,0,Salvador,Estudante,456
57,665,6093,1,Belo Horizonte,Empresário,9742
45,524,4354,1,Belo Horizonte,Empresário,9064
35,766,7549,0,Salvador,Empresário,10201
39,586,6842,0,Salvador,Empresário,9842
21,845,9359,0,Belo Horizonte,Assalariado,3230
30,675,7913,1,Fortaleza,Assalariado,2561
53,728,8583,0,Porto Alegre,Desempregado,578
36,766,8933,0,Porto Alegre,Assalariado,3703
22,488,6750,0,Belo Horizonte,Assalariado,3356
55,736,6723,0,Fortaleza,Autônomo,5645
43,384,3214,0,Porto Alegre,Autônomo,5508
61,441,5199,1,Rio de Janeiro,Assalariado,3012
50,300,4440,0,Porto Alegre,Desempregado,681
33,779,7743,0,Salvador,Autônomo,5368
51,627,5262,1,Porto Alegre,Estudante,677
49,737,6068,0,Belo Horizonte,Autônomo,5914
67,349,2938,1,Fortaleza,Autônomo,5650
58,465,6251,0,Salvador,Desempregado,808
47,523,5222,0,Porto Alegre,Autônomo,5823
34,606,7080,0,São Paulo,Autônomo,5158
46,630,4844,0,Fortaleza,Estudante,1285
26,493,3778,0,Salvador,Autônomo,4898
54,837,8934,0,São Paulo,Autônomo,5163
21,817,9004,0,Salvador,Estudante,229
30,713,5881,0,São Paulo,Empresário,10864
55,604,6196,0,Fortaleza,Estudante,1758
68,410,3619,0,Belo Horizonte,Assalariado,3752
19,432,3496,0,Salvador,Desempregado,1224
19,810,9386,0,Rio de Janeiro,Autônomo,4768
65,489,3771,1,Rio de Janeiro,Empresário,9971
28,441,6286,0,São Paulo,Desempregado,657
68,501,6762,0,Fortaleza,Estudante,709
49,800,6494,0,Rio de Janeiro,Autônomo,5377
44,667,5337,1,Rio de Janeiro,Assalariado,2916
63,443,5149,1,Fortaleza,Empresário,10405
63,481,4232,0,São Paulo,Empresário,9620
38,729,5805,0,Salvador,Empresário,10246
43,333,4946,1,São Paulo,Assalariado,2183
52,385,3681,1,São Paulo,Desempregado,494
37,536,4060,0,São Paulo,Autônomo,4760
50,747,7629,0,Rio de Janeiro,Desempregado,858
60,394,5658,0,São Paulo,Assalariado,2547
43,498,3937,0,Rio de Janeiro,Estudante,987
44,781,8331,0,Belo Horizonte,Desempregado,709
28,482,6697,1,Porto Alegre,Assalariado,3336
63,743,8794,0,Porto Alegre,Autônomo,4729
60,702,8986,1,Belo Horizonte,Assalariado,3558
59,584,4799,1,Fortaleza,Autônomo,4345
60,840,7344,0,Rio de Janeiro,Autônomo,5196
69,346,3277,1,Fortaleza,Desempregado,643
27,338,2734,0,Rio de Janeiro,Empresário,10592
36,616,7760,0,Salvador,Estudante,449
46,343,4617,0,Fortaleza,Desempregado,478
66,745,9321,0,Salvador,Autônomo,5599
69,485,6501,1,Rio de Janeiro,Assalariado,3718
44,337,2024,0,Fortaleza,Estudante,216
46,305,2593,1,Rio de Janeiro,Estudante,1171
33,587,5304,0,Rio de Janeiro,Desempregado,1397
40,704,7254,0,Salvador,Estudante,555
50,666,8426,0,Rio de Janeiro,Desempregado,897
36,818,6576,0,São Paulo,Assalariado,2468
64,423,2896,1,Belo Horizonte,Empresário,10481
53,709,5840,1,Belo Horizonte,Desempregado,-325
36,773,9406,1,Salvador,Desempregado,806
27,332,1716,1,São Paulo,Autônomo,4337
45,595,6800,0,Porto Alegre,Assalariado,2574
19,751,9092,0,Belo Horizonte,Assalariado,2766
53,338,1967,0,Fortaleza,Empresário,9846
42,666,7961,1,Belo Horizonte,Assalariado,2134
