Subscription Date,Churn Date,Customer Segment,Churn Reason,Subscription Duration (days),Acquisition Channel,Call Minutes (monthly),Data Usage (MB monthly),Location
2022-09-10,,pós-pago,,,Redes Sociais,153,4821,FL
2022-10-16,,pós-pago,,,Busca Online,736,4305,WA
2023-05-22,,pós-pago,,,Publicidade Tradicional,100,232,WA
2023-01-08,,pré-pago,,,Publicidade Tradicional,151,353,TX
2022-09-23,,pós-pago,,,Redes Sociais,468,2309,TX
2023-02-01,,pós-pago,,,Redes Sociais,594,3532,NY
2022-11-14,,pós-pago,,,Publicidade Tradicional,785,2383,IL
2022-11-29,2023-06-13,pós-pago,Atendimento ao Cliente,196.0,Publicidade Tradicional,800,1516,IL
2022-11-09,,pós-pago,,,Publicidade Tradicional,666,4738,FL
2023-05-04,,pós-pago,,,Referência,741,3793,IL
2022-09-24,,pós-pago,,,Publicidade Tradicional,820,4291,CA
2022-09-08,,pós-pago,,,Redes Sociais,51,1037,NY
2023-08-05,2023-09-22,pré-pago,,48.0,Busca Online,88,1638,NY
2022-11-28,2022-12-31,pós-pago,Preço,33.0,Referência,711,1273,WA
2022-12-24,2023-04-26,pré-pago,Qualidade do Serviço,123.0,Referência,580,4524,IL
2022-10-01,2023-02-08,pré-pago,Preço,130.0,Redes Sociais,331,650,NY
2022-12-18,2023-07-05,pós-pago,Qualidade do Serviço,199.0,Busca Online,540,4897,WA
2022-10-23,,pós-pago,,,Referência,306,2935,NY
2022-09-18,,pós-pago,,,Referência,119,1495,TX
2023-01-18,,pré-pago,,,Redes Sociais,371,3637,IL
2023-06-21,2023-07-18,pré-pago,,27.0,Redes Sociais,478,2425,NY
2022-12-22,,pré-pago,,,Referência,651,138,WA
2023-01-31,,pós-pago,,,Publicidade Tradicional,408,1320,WA
2022-09-13,,pré-pago,,,Publicidade Tradicional,36,2946,TX
2023-08-08,,pós-pago,,,Redes Sociais,862,1455,FL
2023-08-11,2024-02-08,pós-pago,Qualidade do Serviço,181.0,Busca Online,407,4144,IL
2022-12-02,,pós-pago,,,Referência,829,1243,FL
2023-06-19,,pós-pago,,,Publicidade Tradicional,226,1248,IL
2022-09-05,2023-04-19,pré-pago,Mudança para concorrente,226.0,Referência,30,709,NY
2023-01-08,,pré-pago,,,Referência,345,2979,CA
2022-12-26,2023-01-25,pós-pago,,30.0,Referência,667,2749,WA
2023-01-26,,pré-pago,,,Referência,280,1587,NY
2022-10-09,,pós-pago,,,Referência,954,1538,FL
2023-03-31,,pós-pago,,,Busca Online,370,3172,CA
2023-03-24,2023-10-31,pré-pago,Preço,221.0,Redes Sociais,125,1046,CA
2023-07-06,,pós-pago,,,Referência,65,818,FL
2022-10-08,,pós-pago,,,Redes Sociais,467,1298,IL
2023-07-04,,pré-pago,,,Redes Sociais,533,3379,TX
2023-04-26,,pós-pago,,,Publicidade Tradicional,560,1105,IL
2022-11-07,,pós-pago,,,Publicidade Tradicional,781,4941,WA
2023-08-09,,pós-pago,,,Busca Online,163,4258,CA
2022-09-06,,pós-pago,,,Redes Sociais,912,4419,NY
2023-07-28,,pós-pago,,,Publicidade Tradicional,232,3767,NY
2023-03-22,,pré-pago,,,Referência,521,4017,WA
2022-11-24,,pós-pago,,,Busca Online,317,1543,NY
2023-05-12,2024-02-09,pós-pago,Atendimento ao Cliente,273.0,Busca Online,450,4411,NY
2023-01-22,,pré-pago,,,Busca Online,898,2285,NY
2023-04-04,,pós-pago,,,Publicidade Tradicional,677,1082,IL
2022-09-02,,pós-pago,,,Redes Sociais,320,4388,FL
2022-09-27,,pré-pago,,,Referência,303,4112,TX
2022-11-01,,pré-pago,,,Busca Online,551,4734,TX
2022-09-14,,pré-pago,,,Referência,751,138,TX
2022-11-03,,pós-pago,,,Publicidade Tradicional,289,1890,NY
2023-06-17,,pós-pago,,,Redes Sociais,957,1024,NY
2023-01-28,,pós-pago,,,Referência,96,4008,CA
2023-01-31,,pré-pago,,,Referência,22,335,CA
2023-06-13,2024-01-14,pré-pago,Preço,215.0,Redes Sociais,106,4243,CA
2022-11-14,,pós-pago,,,Busca Online,984,107,NY
2022-11-25,,pós-pago,,,Referência,642,3134,IL
2023-06-23,2023-11-06,pós-pago,Preço,136.0,Redes Sociais,635,674,NY
2023-07-30,,pré-pago,,,Publicidade Tradicional,54,4229,WA
2023-01-25,,pré-pago,,,Referência,419,4552,WA
2023-07-24,2024-04-28,pré-pago,Qualidade do Serviço,279.0,Redes Sociais,152,3939,WA
2023-05-06,,pré-pago,,,Redes Sociais,360,404,NY
2023-03-17,,pré-pago,,,Referência,605,4644,WA
2023-05-10,,pós-pago,,,Redes Sociais,758,3789,WA
2023-03-11,,pré-pago,,,Publicidade Tradicional,258,4007,IL
2023-03-25,2023-11-07,pré-pago,,227.0,Publicidade Tradicional,401,2384,WA
2023-03-28,,pré-pago,,,Busca Online,505,2869,TX
2023-04-29,2024-04-09,pós-pago,Atendimento ao Cliente,346.0,Busca Online,615,1372,IL
2022-12-04,,pós-pago,,,Publicidade Tradicional,493,3949,CA
2022-09-30,,pós-pago,,,Referência,369,2044,NY
2022-09-22,,pré-pago,,,Busca Online,564,1368,NY
2023-03-13,,pós-pago,,,Publicidade Tradicional,381,2815,NY
2023-01-15,,pós-pago,,,Publicidade Tradicional,176,129,IL
2022-09-17,,pós-pago,,,Redes Sociais,843,500,IL
2023-06-01,2023-07-25,pós-pago,Atendimento ao Cliente,54.0,Redes Sociais,809,1714,CA
2023-05-10,,pós-pago,,,Redes Sociais,524,3369,IL
2023-01-30,2023-11-03,pós-pago,Mudança para concorrente,277.0,Redes Sociais,154,4838,CA
2023-08-17,2024-07-09,pós-pago,Atendimento ao Cliente,327.0,Redes Sociais,266,1377,TX
2023-04-26,,pré-pago,,,Busca Online,766,3040,NY
2022-11-29,2023-11-04,pré-pago,,340.0,Redes Sociais,746,3683,TX
2023-04-14,,pré-pago,,,Referência,14,1089,TX
2023-01-16,2023-07-23,pós-pago,Qualidade do Serviço,188.0,Publicidade Tradicional,972,1732,FL
2023-02-03,2023-05-27,pós-pago,Atendimento ao Cliente,113.0,Redes Sociais,275,466,WA
2023-04-09,,pré-pago,,,Redes Sociais,464,3741,WA
2023-05-14,,pós-pago,,,Redes Sociais,190,3474,NY
2022-10-15,,pré-pago,,,Busca Online,108,1896,TX
2022-12-16,2023-05-16,pré-pago,Mudança para concorrente,151.0,Redes Sociais,740,1150,TX
2023-05-06,,pós-pago,,,Redes Sociais,194,2501,TX
2023-07-21,,pré-pago,,,Publicidade Tradicional,179,3931,NY
2022-12-23,2023-02-22,pré-pago,Atendimento ao Cliente,61.0,Publicidade Tradicional,274,1462,IL
2023-02-11,,pré-pago,,,Busca Online,579,4531,CA
2022-09-25,,pré-pago,,,Referência,105,902,CA
2023-02-11,,pós-pago,,,Busca Online,189,3682,TX
2023-02-16,,pós-pago,,,Referência,720,4070,NY
2023-06-10,2023-07-22,pré-pago,Atendimento ao Cliente,42.0,Redes Sociais,510,3369,CA
2022-12-27,,pré-pago,,,Publicidade Tradicional,229,2441,TX
2023-07-25,,pré-pago,,,Referência,198,1390,IL
2022-10-06,,pré-pago,,,Referência,916,237,CA
2022-09-27,2022-12-03,pré-pago,,67.0,Referência,911,2533,IL
2023-04-23,2023-08-01,pré-pago,Qualidade do Serviço,100.0,Publicidade Tradicional,564,776,FL
2023-05-05,,pré-pago,,,Redes Sociais,918,4727,TX
2022-11-03,,pós-pago,,,Referência,321,2637,CA
2023-01-05,2023-07-03,pré-pago,,179.0,Referência,764,912,TX
2023-05-29,,pré-pago,,,Referência,590,4798,TX
2023-05-08,,pré-pago,,,Busca Online,619,3086,IL
2023-05-10,,pré-pago,,,Busca Online,333,3273,TX
2023-08-27,,pós-pago,,,Redes Sociais,665,3919,FL
2023-06-27,,pós-pago,,,Redes Sociais,694,2994,WA
2023-04-23,,pós-pago,,,Busca Online,41,4116,CA
2023-06-16,2023-08-16,pré-pago,Atendimento ao Cliente,61.0,Referência,148,389,CA
2023-04-04,,pré-pago,,,Busca Online,670,1975,NY
2023-07-09,,pré-pago,,,Redes Sociais,658,2387,WA
2022-10-04,2023-04-04,pré-pago,,182.0,Referência,907,3172,FL
2023-01-11,2023-11-01,pós-pago,,294.0,Publicidade Tradicional,718,2080,FL
2023-05-25,,pós-pago,,,Publicidade Tradicional,306,3910,FL
2022-09-24,,pré-pago,,,Referência,529,1650,TX
2023-08-02,,pré-pago,,,Referência,856,342,NY
2022-09-15,,pré-pago,,,Publicidade Tradicional,483,2781,CA
2023-02-25,,pré-pago,,,Redes Sociais,928,4561,CA
2023-08-26,2024-03-07,pós-pago,Qualidade do Serviço,194.0,Redes Sociais,369,637,WA
2023-01-03,2023-09-03,pós-pago,Preço,243.0,Busca Online,607,3163,TX
2023-03-28,,pós-pago,,,Publicidade Tradicional,916,1045,FL
2023-01-12,2023-11-27,pré-pago,,319.0,Publicidade Tradicional,234,4123,WA
2022-09-13,,pós-pago,,,Referência,519,951,NY
2022-12-01,,pós-pago,,,Publicidade Tradicional,176,2541,NY
2023-08-28,2024-01-22,pré-pago,Mudança para concorrente,147.0,Publicidade Tradicional,918,4975,IL
2023-03-18,,pré-pago,,,Publicidade Tradicional,616,1421,IL
2022-11-29,,pós-pago,,,Busca Online,845,3117,FL
2023-02-26,,pós-pago,,,Redes Sociais,941,4752,NY
2023-01-13,,pré-pago,,,Referência,184,4440,WA
2023-04-04,,pré-pago,,,Redes Sociais,557,4209,NY
2023-07-14,,pós-pago,,,Publicidade Tradicional,745,1824,TX
2023-06-03,,pré-pago,,,Publicidade Tradicional,39,1170,FL
2022-12-30,,pré-pago,,,Publicidade Tradicional,550,2868,IL
2023-06-14,,pós-pago,,,Publicidade Tradicional,798,4743,CA
2022-11-05,,pós-pago,,,Busca Online,287,3695,IL
2023-01-05,2023-01-22,pós-pago,,17.0,Referência,118,1378,FL
2023-08-06,,pré-pago,,,Redes Sociais,825,3286,NY
2022-12-22,,pré-pago,,,Referência,887,3141,WA
2023-01-25,,pré-pago,,,Referência,653,3031,WA
2023-03-26,,pré-pago,,,Redes Sociais,94,143,TX
2023-06-12,,pré-pago,,,Redes Sociais,301,2901,NY
2023-02-21,,pré-pago,,,Referência,295,4673,FL
2023-05-28,2024-01-28,pós-pago,Qualidade do Serviço,245.0,Busca Online,215,3680,WA
2023-06-20,,pré-pago,,,Busca Online,664,2130,IL
2023-06-26,,pré-pago,,,Referência,157,1070,CA
2023-05-20,,pós-pago,,,Referência,869,4127,CA
2022-09-07,,pré-pago,,,Referência,278,769,IL
2022-09-03,,pré-pago,,,Publicidade Tradicional,69,2455,FL
2023-05-14,,pós-pago,,,Publicidade Tradicional,761,935,IL
2023-08-15,,pós-pago,,,Referência,347,1041,TX
2023-06-29,,pré-pago,,,Publicidade Tradicional,713,2392,CA
2023-04-25,,pré-pago,,,Publicidade Tradicional,763,2395,NY
2023-05-31,,pré-pago,,,Referência,469,4852,FL
2023-05-17,,pós-pago,,,Referência,893,1801,TX
2022-10-21,,pré-pago,,,Publicidade Tradicional,549,2590,NY
2023-05-29,,pré-pago,,,Redes Sociais,760,1318,NY
2023-04-09,,pré-pago,,,Busca Online,467,2416,FL
2023-08-25,,pré-pago,,,Referência,380,578,TX
2022-09-03,,pós-pago,,,Referência,963,2211,TX
2023-02-18,,pré-pago,,,Busca Online,351,4443,NY
2022-12-26,,pré-pago,,,Redes Sociais,145,1534,CA
2022-09-07,,pré-pago,,,Redes Sociais,449,4423,NY
2023-08-11,,pós-pago,,,Busca Online,892,1555,WA
2023-04-08,,pré-pago,,,Busca Online,207,2939,FL
2023-05-30,,pós-pago,,,Busca Online,769,3766,WA
2023-01-25,,pós-pago,,,Publicidade Tradicional,588,3926,FL
2023-05-12,,pós-pago,,,Busca Online,949,3132,NY
2023-03-17,,pré-pago,,,Redes Sociais,634,1704,IL
2022-10-10,,pré-pago,,,Redes Sociais,64,1596,CA
2023-07-24,,pré-pago,,,Publicidade Tradicional,717,1199,CA
2022-11-08,,pré-pago,,,Publicidade Tradicional,673,4309,CA
2023-01-30,,pós-pago,,,Publicidade Tradicional,60,1650,TX
2023-03-23,,pós-pago,,,Redes Sociais,121,3863,TX
2023-07-22,,pós-pago,,,Referência,133,1867,TX
2023-07-21,,pós-pago,,,Redes Sociais,521,280,WA
2023-03-13,,pré-pago,,,Busca Online,356,3642,IL
2023-05-22,,pós-pago,,,Redes Sociais,229,1821,WA
2023-05-25,,pós-pago,,,Busca Online,396,405,NY
2023-04-04,,pré-pago,,,Referência,478,4688,WA
2023-08-28,,pré-pago,,,Referência,816,369,TX
2023-06-27,2023-12-06,pós-pago,Mudança para concorrente,162.0,Redes Sociais,680,795,NY
2023-06-13,,pré-pago,,,Publicidade Tradicional,923,4428,NY
2023-05-20,,pós-pago,,,Publicidade Tradicional,279,2094,NY
2023-01-17,2023-02-10,pós-pago,Qualidade do Serviço,24.0,Busca Online,915,4088,TX
2023-07-14,,pré-pago,,,Busca Online,391,4577,CA
2023-01-06,,pós-pago,,,Redes Sociais,301,4379,TX
2023-01-24,,pós-pago,,,Busca Online,167,3963,FL
2023-07-27,,pós-pago,,,Redes Sociais,569,2296,IL
2023-01-11,,pós-pago,,,Busca Online,553,980,IL
2022-11-06,2023-02-05,pós-pago,Preço,91.0,Publicidade Tradicional,102,1090,WA
2023-02-24,,pré-pago,,,Publicidade Tradicional,306,4990,NY
2022-10-03,,pós-pago,,,Busca Online,612,570,TX
2023-04-08,,pós-pago,,,Publicidade Tradicional,162,1358,CA
2022-09-21,2023-08-05,pós-pago,Preço,318.0,Publicidade Tradicional,486,1883,TX
2022-09-08,,pré-pago,,,Publicidade Tradicional,832,4226,IL
2023-06-03,2023-07-11,pré-pago,,38.0,Redes Sociais,315,843,FL
2022-10-06,,pré-pago,,,Referência,933,4904,CA
2023-04-17,,pré-pago,,,Publicidade Tradicional,52,261,TX
2022-09-25,,pós-pago,,,Busca Online,611,3470,FL
2023-08-23,,pós-pago,,,Busca Online,545,3216,TX
2023-07-22,,pré-pago,,,Redes Sociais,324,3446,CA
2023-03-03,2023-03-28,pós-pago,Preço,25.0,Publicidade Tradicional,582,3873,NY
2022-11-12,,pós-pago,,,Redes Sociais,642,3466,FL
2022-09-30,,pós-pago,,,Publicidade Tradicional,862,2038,IL
2023-03-21,,pós-pago,,,Redes Sociais,233,3968,FL
2023-07-11,,pós-pago,,,Busca Online,671,2998,TX
2023-08-18,,pós-pago,,,Redes Sociais,583,1672,NY
2022-12-31,,pré-pago,,,Busca Online,583,1091,TX
2023-01-10,2023-04-05,pré-pago,Preço,85.0,Redes Sociais,401,3412,FL
2022-12-11,,pós-pago,,,Redes Sociais,105,3380,NY
2023-05-25,,pré-pago,,,Publicidade Tradicional,97,196,FL
2022-11-04,,pré-pago,,,Referência,69,4844,NY
2023-02-11,,pré-pago,,,Publicidade Tradicional,439,3518,TX
2023-08-21,,pré-pago,,,Publicidade Tradicional,951,3928,CA
2023-01-18,,pós-pago,,,Redes Sociais,775,2337,CA
2023-01-13,,pós-pago,,,Redes Sociais,201,3183,FL
2022-12-31,,pré-pago,,,Busca Online,305,4562,CA
2022-12-23,2023-10-02,pós-pago,,283.0,Busca Online,889,2793,CA
2023-05-09,,pré-pago,,,Referência,175,1415,NY
2023-05-07,2023-10-31,pós-pago,Atendimento ao Cliente,177.0,Redes Sociais,907,4265,NY
2022-11-28,,pós-pago,,,Publicidade Tradicional,44,4759,NY
2022-10-09,,pós-pago,,,Referência,136,2916,FL
2023-06-20,,pré-pago,,,Publicidade Tradicional,837,1853,WA
2022-10-31,,pós-pago,,,Redes Sociais,198,822,WA
2023-01-02,,pós-pago,,,Busca Online,789,948,TX
2023-05-16,,pré-pago,,,Referência,519,3352,NY
2022-12-15,,pré-pago,,,Publicidade Tradicional,341,3979,IL
2023-06-27,2024-06-26,pré-pago,,365.0,Busca Online,140,4411,TX
2022-09-07,2023-05-23,pós-pago,Mudança para concorrente,258.0,Busca Online,444,4513,TX
2023-02-13,2023-09-09,pós-pago,Mudança para concorrente,208.0,Referência,639,1610,WA
2022-10-05,,pós-pago,,,Referência,169,3919,TX
2022-09-08,,pós-pago,,,Referência,364,485,WA
2023-03-23,2023-09-23,pós-pago,Mudança para concorrente,184.0,Busca Online,526,1794,FL
2022-10-08,,pré-pago,,,Redes Sociais,181,3309,TX
2023-06-28,,pós-pago,,,Busca Online,128,481,TX
2023-08-17,,pré-pago,,,Publicidade Tradicional,323,204,WA
2023-05-03,,pré-pago,,,Busca Online,876,762,CA
2023-05-16,,pós-pago,,,Busca Online,539,2775,NY
2023-03-16,,pré-pago,,,Publicidade Tradicional,157,2674,WA
2022-10-03,,pós-pago,,,Busca Online,777,4729,FL
2022-11-19,,pós-pago,,,Busca Online,615,3507,NY
2023-07-24,,pré-pago,,,Referência,818,3551,FL
2023-01-28,,pós-pago,,,Redes Sociais,470,4532,CA
2023-04-27,,pós-pago,,,Redes Sociais,226,4751,TX
2022-11-27,,pré-pago,,,Redes Sociais,819,2903,NY
2023-01-20,2024-01-12,pré-pago,Mudança para concorrente,357.0,Referência,796,4381,IL
2023-08-14,,pré-pago,,,Busca Online,257,947,CA
2023-07-12,,pós-pago,,,Referência,427,4790,TX
2023-07-15,,pré-pago,,,Publicidade Tradicional,865,3700,WA
2023-07-01,,pré-pago,,,Redes Sociais,15,859,NY
2023-05-21,,pré-pago,,,Busca Online,472,4418,FL
2023-04-17,,pós-pago,,,Referência,800,2067,TX
2022-12-26,2023-10-09,pós-pago,Atendimento ao Cliente,287.0,Publicidade Tradicional,502,4697,CA
2023-06-09,2024-05-20,pós-pago,Atendimento ao Cliente,346.0,Publicidade Tradicional,829,1932,WA
2023-07-11,,pré-pago,,,Redes Sociais,865,296,FL
2023-06-02,,pré-pago,,,Redes Sociais,373,1860,WA
2023-07-05,,pré-pago,,,Redes Sociais,597,2000,NY
2023-04-09,,pós-pago,,,Redes Sociais,28,4856,FL
2023-02-09,,pós-pago,,,Redes Sociais,366,3448,IL
2022-10-13,2023-07-23,pós-pago,Preço,283.0,Redes Sociais,145,2381,CA
2023-03-15,2024-01-07,pós-pago,,298.0,Referência,656,2089,WA
2023-07-02,,pré-pago,,,Referência,667,1947,WA
2022-11-25,,pré-pago,,,Redes Sociais,582,851,TX
2022-10-25,,pós-pago,,,Referência,569,1386,TX
2022-12-22,,pós-pago,,,Referência,405,2946,NY
2023-01-21,,pós-pago,,,Referência,664,1158,NY
2022-11-07,,pré-pago,,,Busca Online,916,538,WA
2022-09-30,,pré-pago,,,Referência,533,994,CA
2023-01-29,,pós-pago,,,Publicidade Tradicional,544,442,IL
2023-08-16,2024-02-18,pós-pago,,186.0,Busca Online,54,248,TX
2022-11-25,,pré-pago,,,Publicidade Tradicional,782,416,WA
2022-10-13,,pré-pago,,,Referência,824,470,FL
2022-11-20,,pré-pago,,,Referência,100,3054,WA
2023-07-17,,pré-pago,,,Publicidade Tradicional,937,2303,WA
2023-07-29,,pré-pago,,,Redes Sociais,193,2907,NY
2023-04-02,2024-03-11,pré-pago,Qualidade do Serviço,344.0,Busca Online,175,434,NY
2023-05-07,,pós-pago,,,Redes Sociais,543,4442,NY
2023-04-29,,pós-pago,,,Publicidade Tradicional,899,1313,CA
2022-12-05,2023-12-05,pré-pago,Qualidade do Serviço,365.0,Busca Online,723,2490,NY
2023-05-24,,pré-pago,,,Busca Online,666,2436,FL
2023-04-01,,pré-pago,,,Publicidade Tradicional,341,3055,IL
2022-09-20,,pré-pago,,,Busca Online,981,1406,TX
2023-03-31,,pré-pago,,,Publicidade Tradicional,895,1334,FL
2023-01-20,,pós-pago,,,Publicidade Tradicional,897,4959,WA
2023-06-27,,pré-pago,,,Busca Online,228,3515,IL
2023-08-20,,pós-pago,,,Redes Sociais,336,3618,IL
2023-08-28,,pré-pago,,,Publicidade Tradicional,345,2619,NY
2022-09-22,,pós-pago,,,Referência,915,114,CA
2023-06-11,,pós-pago,,,Busca Online,259,1750,NY
2022-11-13,,pós-pago,,,Busca Online,378,2458,IL
2023-08-15,,pré-pago,,,Redes Sociais,353,2018,IL
2023-06-13,2023-08-24,pré-pago,Preço,72.0,Busca Online,821,448,CA
2022-11-21,,pós-pago,,,Redes Sociais,455,4465,IL
2023-03-11,,pós-pago,,,Redes Sociais,450,1449,NY
2023-04-20,,pós-pago,,,Redes Sociais,154,4021,FL
2023-05-25,,pré-pago,,,Referência,718,341,IL
2022-10-28,,pré-pago,,,Referência,208,2576,CA
2022-11-22,,pós-pago,,,Publicidade Tradicional,343,2695,NY
2023-08-17,,pré-pago,,,Redes Sociais,653,2147,NY
2023-03-09,,pós-pago,,,Referência,107,4403,FL
2023-07-17,2023-11-29,pós-pago,Preço,135.0,Referência,434,4441,FL
2022-09-24,,pré-pago,,,Redes Sociais,533,4846,FL
2023-06-11,,pós-pago,,,Redes Sociais,379,829,FL
2023-02-14,,pós-pago,,,Redes Sociais,356,319,CA
2023-07-07,,pré-pago,,,Redes Sociais,174,2629,TX
2023-02-07,,pré-pago,,,Referência,225,674,NY
2023-07-29,2024-04-19,pós-pago,Qualidade do Serviço,265.0,Redes Sociais,565,373,WA
2023-05-22,,pós-pago,,,Publicidade Tradicional,667,1224,IL
2022-11-29,,pré-pago,,,Referência,607,1350,WA
2023-06-30,,pós-pago,,,Busca Online,45,323,WA
2023-02-22,2023-09-12,pré-pago,Qualidade do Serviço,202.0,Publicidade Tradicional,588,569,FL
2023-04-08,,pré-pago,,,Redes Sociais,525,3859,WA
2023-01-14,,pré-pago,,,Publicidade Tradicional,212,4052,CA
2023-03-02,,pós-pago,,,Referência,837,341,IL
2023-05-02,,pós-pago,,,Referência,828,4693,IL
2023-02-21,,pré-pago,,,Publicidade Tradicional,742,1283,IL
2022-12-11,2023-08-14,pós-pago,Atendimento ao Cliente,246.0,Referência,926,3173,FL
2023-07-12,,pré-pago,,,Publicidade Tradicional,196,2323,FL
2022-09-11,,pré-pago,,,Publicidade Tradicional,824,497,IL
2023-04-15,,pós-pago,,,Referência,842,195,TX
2023-08-31,,pós-pago,,,Referência,666,2285,FL
2022-09-19,,pós-pago,,,Busca Online,893,3028,FL
2022-11-11,,pós-pago,,,Publicidade Tradicional,421,4013,NY
2023-03-06,,pré-pago,,,Busca Online,316,4363,NY
2023-04-10,2024-01-02,pós-pago,Atendimento ao Cliente,267.0,Publicidade Tradicional,582,2623,TX
2023-05-16,,pós-pago,,,Publicidade Tradicional,501,2390,IL
2023-03-08,,pré-pago,,,Referência,420,1326,WA
2023-05-14,,pós-pago,,,Publicidade Tradicional,948,111,TX
2023-08-03,2024-02-07,pós-pago,,188.0,Publicidade Tradicional,54,4779,TX
2023-06-01,,pós-pago,,,Redes Sociais,754,2473,WA
2023-05-07,,pós-pago,,,Publicidade Tradicional,960,473,NY
2022-09-14,,pós-pago,,,Redes Sociais,218,197,FL
2022-12-04,,pré-pago,,,Publicidade Tradicional,459,1302,IL
2023-01-17,,pré-pago,,,Publicidade Tradicional,72,864,FL
2022-11-23,,pré-pago,,,Referência,403,4366,FL
2022-11-15,,pré-pago,,,Publicidade Tradicional,88,2259,WA
2023-04-08,,pré-pago,,,Referência,299,3760,FL
2022-10-29,,pré-pago,,,Redes Sociais,487,707,WA
2023-03-18,,pré-pago,,,Referência,722,2841,IL
2022-12-28,,pós-pago,,,Redes Sociais,743,2436,FL
2023-05-12,2023-07-29,pós-pago,Preço,78.0,Referência,24,4805,WA
2023-06-28,,pré-pago,,,Publicidade Tradicional,635,4156,WA
2023-08-28,,pré-pago,,,Referência,411,1487,FL
2023-07-20,,pré-pago,,,Busca Online,832,2351,FL
2023-08-29,,pós-pago,,,Busca Online,607,1656,TX
2022-11-20,,pós-pago,,,Publicidade Tradicional,408,1626,IL
2023-02-04,,pós-pago,,,Busca Online,148,2455,FL
2023-02-04,,pós-pago,,,Busca Online,135,2138,WA
2023-05-20,,pré-pago,,,Redes Sociais,928,2844,CA
2022-11-05,,pós-pago,,,Referência,388,4994,WA
2023-02-08,,pré-pago,,,Publicidade Tradicional,577,977,TX
2022-10-10,,pré-pago,,,Publicidade Tradicional,308,1237,IL
2023-07-02,2023-07-18,pré-pago,Atendimento ao Cliente,16.0,Redes Sociais,559,4963,IL
2023-02-02,,pré-pago,,,Referência,472,3701,FL
2023-05-27,,pré-pago,,,Referência,604,3845,IL
2023-01-22,,pré-pago,,,Redes Sociais,563,4063,NY
2022-10-09,,pós-pago,,,Referência,400,2279,WA
2023-07-14,,pós-pago,,,Redes Sociais,255,580,WA
2023-01-08,,pré-pago,,,Publicidade Tradicional,887,1439,CA
2022-11-23,,pré-pago,,,Referência,855,1021,NY
2023-02-09,,pós-pago,,,Redes Sociais,576,1881,FL
2023-07-25,2023-09-21,pré-pago,Atendimento ao Cliente,58.0,Referência,202,1038,NY
2023-04-30,,pré-pago,,,Publicidade Tradicional,483,4899,TX
2023-05-21,2024-03-15,pós-pago,Preço,299.0,Redes Sociais,969,3601,WA
2023-08-08,,pré-pago,,,Publicidade Tradicional,407,4764,TX
2022-11-29,,pós-pago,,,Redes Sociais,439,4517,FL
2022-10-12,,pós-pago,,,Publicidade Tradicional,569,239,IL
2023-01-16,2023-04-17,pós-pago,Mudança para concorrente,91.0,Referência,812,3491,TX
2022-11-25,,pós-pago,,,Redes Sociais,68,2535,TX
2023-05-07,,pós-pago,,,Busca Online,72,3880,TX
2022-10-07,,pré-pago,,,Redes Sociais,221,447,TX
2023-07-02,,pós-pago,,,Busca Online,846,1385,WA
2023-08-23,2024-05-24,pré-pago,Preço,275.0,Redes Sociais,173,3105,NY
2023-07-10,,pré-pago,,,Publicidade Tradicional,449,3083,IL
2023-08-02,,pré-pago,,,Busca Online,718,3387,NY
2023-06-14,,pós-pago,,,Publicidade Tradicional,659,4469,CA
2023-04-22,,pré-pago,,,Publicidade Tradicional,38,4171,CA
2022-12-19,,pós-pago,,,Publicidade Tradicional,167,322,TX
2023-01-17,,pré-pago,,,Redes Sociais,400,2313,TX
2023-01-25,,pós-pago,,,Busca Online,861,3824,FL
2022-10-03,,pré-pago,,,Publicidade Tradicional,398,3066,NY
2022-10-01,,pós-pago,,,Busca Online,337,1728,TX
2022-10-13,,pré-pago,,,Redes Sociais,304,3658,IL
2023-05-11,2023-09-01,pré-pago,Mudança para concorrente,113.0,Redes Sociais,602,3922,WA
2022-12-16,,pré-pago,,,Redes Sociais,537,1917,FL
2023-01-12,2023-08-11,pré-pago,Qualidade do Serviço,211.0,Referência,211,581,FL
2023-08-05,,pós-pago,,,Publicidade Tradicional,378,2743,TX
2023-08-22,,pré-pago,,,Busca Online,511,4457,FL
2023-08-12,,pós-pago,,,Publicidade Tradicional,536,4356,TX
2022-10-09,,pós-pago,,,Referência,161,1899,WA
2023-05-13,,pré-pago,,,Referência,893,4490,NY
2023-08-19,,pré-pago,,,Redes Sociais,29,4032,WA
2023-01-17,2023-07-25,pós-pago,Atendimento ao Cliente,189.0,Busca Online,400,4233,TX
2023-06-11,,pré-pago,,,Redes Sociais,625,4101,CA
2023-08-16,,pré-pago,,,Publicidade Tradicional,980,1640,TX
2023-08-31,,pós-pago,,,Busca Online,497,1059,TX
2022-09-29,,pós-pago,,,Busca Online,556,2484,FL
2022-09-18,,pós-pago,,,Busca Online,109,2137,FL
2022-12-12,2023-04-12,pré-pago,Atendimento ao Cliente,121.0,Referência,298,4603,IL
2023-08-15,,pós-pago,,,Busca Online,382,4671,IL
2023-08-29,,pré-pago,,,Publicidade Tradicional,821,3669,WA
2022-10-21,2022-10-31,pré-pago,Qualidade do Serviço,10.0,Publicidade Tradicional,221,1649,IL
2023-02-18,,pré-pago,,,Redes Sociais,789,617,FL
2023-03-15,,pré-pago,,,Referência,175,3322,IL
2023-03-15,,pós-pago,,,Redes Sociais,696,4087,FL
